epoch,train_mse_online,train_mse_eval,valid_mse,valid_mse_ema,epoch_seconds
397,0.087814,0.086986,0.092529,0.090071,661.8
398,0.088335,0.089638,0.090150,0.088997,661.8
399,0.089023,0.087480,0.085085,0.090596,664.1
400,0.088446,0.088543,0.090484,0.084315,663.4
401,0.089016,0.088820,0.090971,0.090547,663.2
402,0.088518,0.087318,0.087921,0.085022,663.6
403,0.088565,0.088269,0.086439,0.090131,664.3
404,0.088939,0.089141,0.093995,0.082603,663.2
405,0.088646,0.087734,0.084706,0.088092,663.3
406,0.088658,0.086228,0.088975,0.080084,663.0
407,0.088661,0.086305,0.090252,0.084961,661.6
408,0.088568,0.088036,0.089175,0.091766,661.4
409,0.087979,0.088986,0.083698,0.091459,663.7
410,0.088638,0.089531,0.084271,0.086032,663.1
411,0.088742,0.088499,0.083524,0.089058,664.1
412,0.088135,0.088825,0.092875,0.093298,663.2
413,0.088440,0.088000,0.087341,0.090634,662.9
414,0.088192,0.088803,0.086482,0.086826,662.7
415,0.088747,0.089120,0.086210,0.084835,663.5
416,0.088550,0.087650,0.083529,0.088060,661.4
417,0.088754,0.087863,0.090083,0.090032,660.7
418,0.088370,0.088809,0.088576,0.082504,662.5
419,0.088747,0.088106,0.091985,0.085384,663.4
420,0.088279,0.088132,0.093470,0.087539,661.6
421,0.088330,0.091349,0.083179,0.091033,661.4
422,0.088217,0.088115,0.087705,0.081855,663.7
423,0.088291,0.087218,0.091863,0.092234,662.5
424,0.088768,0.089972,0.089001,0.092454,662.7
425,0.088383,0.090102,0.088685,0.082841,662.7
426,0.088158,0.088454,0.089337,0.093089,663.1
427,0.088544,0.085689,0.089651,0.079652,663.0
428,0.088780,0.087185,0.093001,0.082528,663.2
429,0.088399,0.088849,0.094404,0.088109,662.5
430,0.088808,0.087597,0.086694,0.091730,662.0
431,0.088091,0.089904,0.084552,0.090358,293.3
