epoch,train_mse_online,train_mse_eval,valid_mse,valid_mse_ema,epoch_seconds
363,0.075272,0.075699,0.080537,0.072008,888.8
364,0.075889,0.076045,0.071600,0.076938,888.1
365,0.075460,0.075506,0.071461,0.072411,886.9
366,0.074905,0.074995,0.074566,0.082353,889.4
367,0.075724,0.076421,0.069309,0.073375,887.7
368,0.075381,0.075514,0.072038,0.074626,887.4
369,0.075422,0.074643,0.078398,0.078895,888.7
370,0.075699,0.074373,0.073098,0.077133,887.0
371,0.075637,0.075994,0.074584,0.078666,890.0
372,0.075834,0.075734,0.074858,0.069934,890.1
373,0.074936,0.076204,0.075678,0.075641,885.4
374,0.074676,0.074957,0.073760,0.076718,886.8
375,0.075360,0.075274,0.074165,0.072811,888.5
376,0.075115,0.075313,0.073516,0.076697,888.0
377,0.074897,0.076266,0.075082,0.079323,888.3
378,0.075558,0.074059,0.072973,0.073982,887.4
379,0.075528,0.075576,0.078184,0.071227,886.8
380,0.075351,0.075467,0.078608,0.077398,888.2
381,0.075102,0.076830,0.076673,0.071352,888.6
382,0.075361,0.076764,0.076438,0.074347,888.2
383,0.075256,0.076257,0.080075,0.075061,888.7
384,0.075378,0.073969,0.072703,0.073223,888.5
385,0.074984,0.076764,0.077988,0.072503,887.7
386,0.075465,0.075309,0.069081,0.077521,887.4
387,0.075376,0.073493,0.074837,0.072749,887.3
388,0.075238,0.076408,0.074509,0.069328,889.3
389,0.075396,0.076598,0.076597,0.081277,887.5
390,0.075469,0.073444,0.076921,0.074479,885.6
391,0.075136,0.076050,0.076133,0.075321,887.2
392,0.075274,0.075211,0.076568,0.068871,887.7
393,0.075093,0.076167,0.073922,0.074123,889.8
394,0.075371,0.076488,0.078207,0.073625,888.1
395,0.075210,0.076097,0.076808,0.078310,888.2
396,0.075615,0.075824,0.078171,0.079263,888.7
397,0.074707,0.077097,0.068027,0.075917,887.1
398,0.074952,0.074843,0.077087,0.072625,886.7
399,0.075086,0.075451,0.075019,0.074466,888.9
400,0.075464,0.074664,0.076445,0.076364,888.5
401,0.075267,0.074410,0.073635,0.073555,887.2
402,0.074973,0.074308,0.074813,0.077217,888.3
403,0.074913,0.076386,0.080459,0.074667,889.2
404,0.075183,0.076776,0.074440,0.071050,889.4
405,0.075457,0.075268,0.072641,0.072926,888.1
406,0.074876,0.076505,0.078272,0.077155,894.4
407,0.075271,0.074436,0.074383,0.073129,887.2
408,0.075168,0.074778,0.072906,0.072265,887.1
409,0.075046,0.075629,0.075876,0.073094,888.1
410,0.075042,0.077183,0.076005,0.073227,887.5
411,0.075060,0.074301,0.071403,0.071816,888.3
412,0.075107,0.074284,0.077925,0.077555,887.7
413,0.074934,0.075679,0.075390,0.073454,886.6
414,0.074884,0.074997,0.074715,0.072479,888.2
415,0.074911,0.075423,0.073432,0.074661,887.8
416,0.075113,0.076870,0.074875,0.076540,888.3
417,0.074999,0.075950,0.077878,0.074612,885.6
418,0.074771,0.075243,0.074146,0.071970,887.4
419,0.075219,0.076385,0.076528,0.076888,888.9
420,0.074698,0.074852,0.073871,0.071331,886.3
421,0.074464,0.075039,0.074722,0.072974,884.6
422,0.074361,0.074004,0.070577,0.071214,890.2
423,0.074784,0.073583,0.067454,0.077419,888.5
424,0.074858,0.074291,0.074073,0.070855,888.9
425,0.074860,0.073747,0.075455,0.072766,887.8
426,0.074498,0.072912,0.074780,0.077020,887.7
427,0.074749,0.075303,0.070209,0.070991,887.8
428,0.075319,0.074113,0.071862,0.075145,887.8
429,0.074813,0.075696,0.074395,0.072708,887.3
430,0.074945,0.075835,0.081115,0.073712,886.8
431,0.074864,0.074185,0.076779,0.074520,391.8
