epoch,train_mse_online,train_mse_eval,valid_mse,valid_mse_ema,epoch_seconds
375,0.085167,0.086036,0.089659,0.089507,713.4
376,0.084923,0.085986,0.085342,0.079838,713.5
377,0.085182,0.085316,0.085494,0.085840,713.3
378,0.085109,0.084874,0.079105,0.084265,714.2
379,0.084876,0.085849,0.078799,0.082521,712.2
380,0.084931,0.084855,0.084957,0.085406,713.4
381,0.085154,0.084722,0.082455,0.078151,713.3
382,0.084549,0.085791,0.082479,0.080916,713.1
383,0.084998,0.086036,0.076622,0.083798,713.2
384,0.085061,0.085524,0.087627,0.085452,713.3
385,0.084862,0.088363,0.083361,0.083750,713.4
386,0.085247,0.085714,0.086510,0.091302,713.8
387,0.085065,0.085755,0.078026,0.090693,712.2
388,0.085165,0.084596,0.086728,0.085241,713.8
389,0.084483,0.082454,0.087817,0.087042,713.1
390,0.084980,0.084659,0.084770,0.087272,711.4
391,0.085119,0.084057,0.080689,0.078020,712.6
392,0.084977,0.085636,0.083953,0.087558,714.0
393,0.084731,0.084676,0.083116,0.088189,713.8
394,0.085051,0.087147,0.084939,0.079646,713.0
395,0.085163,0.086519,0.084474,0.077817,712.5
396,0.085056,0.083436,0.086990,0.089367,713.3
397,0.085224,0.083865,0.077838,0.082075,711.8
398,0.084816,0.086171,0.085571,0.087207,711.3
399,0.085012,0.087223,0.082289,0.086156,714.4
400,0.085129,0.084671,0.090159,0.088760,713.6
401,0.085240,0.087553,0.081794,0.086432,711.7
402,0.084450,0.086604,0.086979,0.081622,713.3
403,0.084827,0.084213,0.083400,0.086627,713.0
404,0.085059,0.085583,0.085157,0.085660,713.2
405,0.084907,0.087453,0.087562,0.077315,713.1
406,0.084608,0.084369,0.082627,0.079535,712.1
407,0.085006,0.084981,0.083364,0.084854,712.4
408,0.085689,0.084703,0.090281,0.079582,711.0
409,0.085043,0.084654,0.085296,0.085233,713.0
410,0.085124,0.087051,0.081301,0.084495,712.7
411,0.084790,0.086190,0.083207,0.081944,713.8
412,0.085042,0.085293,0.086138,0.085593,711.3
413,0.085491,0.084528,0.088910,0.083264,712.3
414,0.084897,0.086218,0.083405,0.076416,712.7
