# Mass Density (g/cm^3)  Energy (eV/atom)  Total_Atom  Fe  Ge  O  Si  Ta  Ti  Zr
3.299933  -7.585565  720  0  111  480  24  0  105  0
3.299933  -7.585565  720  0  111  480  24  0  105  0
3.299933  -7.585570  720  0  111  480  24  0  105  0
3.299933  -7.585570  720  0  111  480  24  0  105  0
3.299933  -7.585576  720  0  111  480  24  0  105  0
3.299933  -7.585576  720  0  111  480  24  0  105  0
3.299933  -7.585581  720  0  111  480  24  0  105  0
3.299933  -7.585581  720  0  111  480  24  0  105  0
3.299933  -7.585586  720  0  111  480  24  0  105  0
3.299933  -7.585586  720  0  111  480  24  0  105  0
3.299933  -7.585591  720  0  111  480  24  0  105  0
3.299933  -7.585591  720  0  111  480  24  0  105  0
3.299933  -7.585596  720  0  111  480  24  0  105  0
3.299933  -7.585596  720  0  111  480  24  0  105  0
3.299933  -7.585601  720  0  111  480  24  0  105  0
3.299933  -7.585601  720  0  111  480  24  0  105  0
3.299933  -7.585606  720  0  111  480  24  0  105  0
3.299933  -7.585606  720  0  111  480  24  0  105  0
3.299933  -7.585610  720  0  111  480  24  0  105  0
3.299933  -7.585611  720  0  111  480  24  0  105  0
3.299933  -7.585615  720  0  111  480  24  0  105  0
3.299933  -7.585615  720  0  111  480  24  0  105  0
3.299933  -7.585620  720  0  111  480  24  0  105  0
3.299933  -7.585620  720  0  111  480  24  0  105  0
3.299933  -7.585625  720  0  111  480  24  0  105  0
3.299933  -7.585625  720  0  111  480  24  0  105  0
3.299933  -7.585630  720  0  111  480  24  0  105  0
3.299933  -7.585630  720  0  111  480  24  0  105  0
3.299933  -7.585634  720  0  111  480  24  0  105  0
3.299933  -7.585635  720  0  111  480  24  0  105  0
3.299933  -7.585639  720  0  111  480  24  0  105  0
3.299933  -7.585640  720  0  111  480  24  0  105  0
3.299933  -7.585643  720  0  111  480  24  0  105  0
3.299933  -7.585645  720  0  111  480  24  0  105  0
3.299933  -7.585649  720  0  111  480  24  0  105  0
3.299933  -7.585650  720  0  111  480  24  0  105  0
3.299933  -7.585653  720  0  111  480  24  0  105  0
3.299933  -7.585655  720  0  111  480  24  0  105  0
3.299933  -7.585659  720  0  111  480  24  0  105  0
3.299933  -7.585660  720  0  111  480  24  0  105  0
3.299933  -7.585664  720  0  111  480  24  0  105  0
3.299933  -7.585666  720  0  111  480  24  0  105  0
3.299933  -7.585670  720  0  111  480  24  0  105  0
3.299933  -7.585671  720  0  111  480  24  0  105  0
3.299933  -7.585676  720  0  111  480  24  0  105  0
3.299933  -7.585677  720  0  111  480  24  0  105  0
3.299933  -7.585682  720  0  111  480  24  0  105  0
3.299933  -7.585683  720  0  111  480  24  0  105  0
3.299933  -7.585688  720  0  111  480  24  0  105  0
3.299933  -7.585688  720  0  111  480  24  0  105  0
