arm,refine_sigma,target_de,achieved_de,epa_mace,ok,dmin,natoms,fmace_rms,file
g2_min1,0.001,0.046,0.02234696789894386,-6.372914946969761,1,1.666679861329687,360,0.678892104819221,out/g2_min1/dE0.046/r1/GeO_Ge120O240_d3p65_En6p37_20260816n220534_final.vasp
g2_min1,0.001,0.048,0.02838070798536574,-6.366881206883339,1,1.6633747034511417,360,0.6110952744063639,out/g2_min1/dE0.048/r0/GeO_Ge120O240_d3p65_En6p37_20260816n220414_final.vasp
g2_min1,0.001,0.048,0.031871192794105774,-6.363390722074599,1,1.6896875238772622,360,0.5945143007024066,out/g2_min1/dE0.048/r1/GeO_Ge120O240_d3p65_En6p37_20260816n220415_final.vasp
g2_min1,0.001,0.05,0.019690917321703694,-6.375570997547001,1,1.6870217942381136,360,0.6241064283053985,out/g2_min1/dE0.050/r0/GeO_Ge120O240_d3p65_En6p36_20260816n220701_final.vasp
g2_min1,0.001,0.05,0.024683179113618614,-6.370578735755086,1,1.6782727158070134,360,0.6292680817656003,out/g2_min1/dE0.050/r1/GeO_Ge120O240_d3p65_En6p36_20260816n220539_final.vasp
g2_min1,0.001,0.052,0.03013051218171281,-6.365131402686992,1,1.6488580045205015,360,0.6959973141513952,out/g2_min1/dE0.052/r0/GeO_Ge120O240_d3p65_En6p36_20260816n220541_final.vasp
g2_min1,0.001,0.052,0.01718756837778823,-6.378074346490917,1,1.6869834172353761,360,0.6160898530341689,out/g2_min1/dE0.052/r1/GeO_Ge120O240_d3p65_En6p36_20260816n220827_final.vasp
g2_min1,0.001,0.054,0.02725912101976391,-6.368002793848941,1,1.6752361381288963,360,0.6563652367255199,out/g2_min1/dE0.054/r0/GeO_Ge120O240_d3p65_En6p36_20260816n220704_final.vasp
g2_min1,0.001,0.054,0.021940556802343636,-6.373321358066361,1,1.672152044143304,360,0.6217216393208247,out/g2_min1/dE0.054/r1/GeO_Ge120O240_d3p65_En6p36_20260816n220706_final.vasp
g2_min1,0.001,0.056,0.018871324977794757,-6.37639058989091,1,1.6552820072780798,360,0.6770894919229196,out/g2_min1/dE0.056/r0/GeO_Ge120O240_d3p65_En6p36_20260816n220954_final.vasp
